CAMIS,DBA,BORO,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,score,grade,violation_count,critical_violations,latitude,longitude,unemployment_rate,crime_rate,cost_of_living,median_income
30075445,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery Products/Desserts,2023-08-01,38.0,,3,2,40.84823122453,-73.85597188993,8.45,27.0,102815.48,63460
30075445,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery Products/Desserts,2023-08-22,12.0,A,3,1,40.84823122453,-73.85597188993,8.45,27.0,102815.48,63460
30075445,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery Products/Desserts,2024-11-08,10.0,A,3,1,40.84823122453,-73.85597188993,8.45,27.0,102815.48,63460
30075445,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery Products/Desserts,2026-02-27,7.0,A,2,1,40.84823122453,-73.85597188993,8.45,27.0,102815.48,63460
30191841,D.J. REYNOLDS,Manhattan,10019,Irish,2023-04-23,10.0,A,2,2,40.76732571155,-73.98431042362,4.8,10.0,137874.7,121835
30191841,D.J. REYNOLDS,Manhattan,10019,Irish,2024-11-20,24.0,,6,2,40.76732571155,-73.98431042362,4.8,10.0,137874.7,121835
30191841,D.J. REYNOLDS,Manhattan,10019,Irish,2025-02-20,10.0,A,2,2,40.76732571155,-73.98431042362,4.8,10.0,137874.7,121835
40356018,RIVIERA CATERERS,Brooklyn,11224,American,2024-04-16,0.0,A,1,0,40.57989566331,-73.98208665586,6.24,21.0,115425.65,41449
40356018,RIVIERA CATERERS,Brooklyn,11224,American,2025-09-17,10.0,A,2,1,40.57989566331,-73.98208665586,6.24,21.0,115425.65,41449
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2022-01-24,9.0,A,2,1,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2022-08-03,21.0,,4,2,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2022-08-19,2.0,A,1,0,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2023-11-16,35.0,,6,3,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2024-04-23,27.0,B,5,3,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
40356483,WILKEN'S FINE FOOD,Brooklyn,11234,Sandwiches,2025-01-06,12.0,A,2,2,40.62011159093,-73.9069894897,6.24,21.0,115425.65,94434
